stage,cohort,scheme,seed,comparison,n,delta_auroc,auroc_low,auroc_high,delta_balanced_accuracy,ba_low,ba_high
stage2,common_valid,exploratory,7004,B-A,285,0.00985512959495416,-0.00522691435892382,0.022716073716369304,-0.003424657534246478,-0.028432048881442795,0.021991721691140196
stage2,common_valid,exploratory,7004,C-B,285,-0.006110180348871674,-0.01266507342071553,-0.00014782694392434514,-0.007194244604316613,-0.021582733812949617,0.007194244604316502
stage2,common_valid,exploratory,7004,original_C-minus-shuffled_C,285,0.007095693308367013,0.0022161722676653645,0.012172316940967749,0.014560953976544888,0.000172464767911662,0.03237410071942448
stage2,common_valid,exploratory,7005,B-A,285,0.00985512959495416,-0.00522691435892382,0.022716073716369304,-0.003424657534246478,-0.028432048881442795,0.021991721691140196
stage2,common_valid,exploratory,7005,C-B,285,-0.0040406031339312865,-0.009906869025327641,0.0007403666108209822,0.003424657534246478,-0.010963831674386526,0.017813146742879597
stage2,common_valid,exploratory,7005,original_C-minus-shuffled_C,285,0.005026116093426625,-0.0004939883709470376,0.010791366906474757,0.003942051837981797,-0.010273972602739767,0.021582733812949617
stage2,common_valid,strict,0,B-A,100,-0.0049261083743842304,-0.04802955665024622,0.024630541871921152,-0.02052545155993435,-0.07022783251231521,0.023809523809523725
stage2,common_valid,strict,0,C-B,100,0.0,-0.018883415435139498,0.014778325123152691,0.0,0.0,0.0
stage2,common_valid,strict,7001,B-A,100,-0.0049261083743842304,-0.04802955665024622,0.024630541871921152,-0.02052545155993435,-0.07022783251231521,0.023809523809523725
stage2,common_valid,strict,7001,C-B,100,-0.009031198686371034,-0.02793513957307068,0.005747126436781547,-0.0357142857142857,-0.08333333333333326,0.0
stage2,common_valid,strict,7001,original_C-minus-shuffled_C,100,0.009031198686371034,0.002463054187192168,0.01765188834154352,0.0357142857142857,0.0,0.08333333333333326
stage2,common_valid,strict,7002,B-A,100,-0.0049261083743842304,-0.04802955665024622,0.024630541871921152,-0.02052545155993435,-0.07022783251231521,0.023809523809523725
stage2,common_valid,strict,7002,C-B,100,-0.003284072249589487,-0.020114942528735583,0.011494252873563204,0.0,0.0,0.0
stage2,common_valid,strict,7002,original_C-minus-shuffled_C,100,0.003284072249589487,-0.005747126436781549,0.013557060755336565,0.0,0.0,0.0
stage2,common_valid,strict,7003,B-A,100,-0.0049261083743842304,-0.04802955665024622,0.024630541871921152,-0.02052545155993435,-0.07022783251231521,0.023809523809523725
stage2,common_valid,strict,7003,C-B,100,-0.003694581280788145,-0.019714696223316997,0.009041461412151099,-0.023809523809523725,-0.059523809523809534,0.0
stage2,common_valid,strict,7003,original_C-minus-shuffled_C,100,0.003694581280788145,-0.005747126436781658,0.013957307060755264,0.023809523809523725,0.0,0.059523809523809534
stage2,common_valid,strict,7004,B-A,100,-0.0049261083743842304,-0.04802955665024622,0.024630541871921152,-0.02052545155993435,-0.07022783251231521,0.023809523809523725
stage2,common_valid,strict,7004,C-B,100,-0.011494252873563204,-0.029977422003284116,0.003284072249589487,-0.0357142857142857,-0.08333333333333326,0.0
stage2,common_valid,strict,7004,original_C-minus-shuffled_C,100,0.011494252873563204,0.0024630541871920597,0.02257799671592775,0.0357142857142857,0.0,0.08333333333333326
stage2,common_valid,strict,7005,B-A,100,-0.0049261083743842304,-0.04802955665024622,0.024630541871921152,-0.02052545155993435,-0.07022783251231521,0.023809523809523725
stage2,common_valid,strict,7005,C-B,100,-0.0053366174055828886,-0.02052545155993435,0.005747126436781658,0.0,0.0,0.0
stage2,common_valid,strict,7005,original_C-minus-shuffled_C,100,0.0053366174055828886,-0.003294334975369561,0.01518883415435135,0.0,0.0,0.0
